noise_axis,noise_value,runtime_sec,gicp_x,gicp_y,gicp_z,gicp_roll_deg,gicp_pitch_deg,gicp_yaw_deg,error_x,error_y,error_z,error_roll,error_pitch,error_yaw,mahalanobis_distance,min_eigenvalue
Roll,-1.1999999999999993,0.026474141999642598,0.015718634395148173,0.015126842557231119,0.03322594039007684,1.2946181199982802,0.1570046247451742,-0.04282465979647142,-0.015616217566091207,-0.015886380068853644,-0.03291833265888427,-1.2947399080224142,-0.15599694386104843,0.046361168068639345,168714.85054379163,45321.55523888027
Roll,-1.0999999999999992,0.0300996270016185,0.01701766060045166,0.0192916238508074,0.033078660383944865,1.2154198060041126,0.15543518845383716,-0.04533510275725755,-0.016912590747830723,-0.020003362905949132,-0.03270772145165203,-1.2155468293571128,-0.1544385401975514,0.04862208692387934,185139.29537568302,45221.271910112875
Roll,-0.9999999999999991,0.02685715400002664,0.017601493715551437,0.01912241864443859,0.03051950499196816,1.108943614659822,0.14201235960733669,-0.041529088632131894,-0.017511929714267967,-0.01972308893167309,-0.03018694654088737,-1.109049623865981,-0.1411819878393995,0.04426987947044425,163674.01944134367,44345.00954756705
Roll,-0.899999999999999,0.02667977199962479,0.01500727720707048,0.01846613555348935,0.03446347207704077,1.0192710620433245,0.16156824947332715,-0.042177710071866936,-0.014896436524725021,-0.019088064300646822,-0.034171470837145425,-1.0193937371192052,-0.1607923510300643,0.045045298605320826,191349.40615785946,44401.803455281195
Roll,-0.7999999999999989,0.026468025000212947,0.01588951282085987,0.018893287459190968,0.03437745127687539,0.9008490296291962,0.1625948652010665,-0.03339435851930599,-0.015780877652610974,-0.019441402111591396,-0.034120930078803055,-0.9009472472726477,-0.1620497080941663,0.03594670957318213,190766.54581772932,44988.93704982695
Roll,-0.6999999999999988,0.02640896800221526,0.0165103097811595,0.01951118505478553,0.03281976466932717,0.8019547616594938,0.15521525790687982,-0.03744981803371733,-0.01640858356581586,-0.01998003907872517,-0.032587881920097324,-0.8020589652510958,-0.15467586038546263,0.03961872984004955,180190.77316640195,44348.661365835505
Roll,-0.5999999999999988,0.026430631998664467,0.015987763509216508,0.01804665949558312,0.03652845468836232,0.7031224046736619,0.17372089022124224,-0.043734421679465896,-0.015863156078712946,-0.0185063490238854,-0.03635235656631387,-0.7032580147144186,-0.173171069753377,0.045863149511226775,206857.69208380746,45321.26551523495
Roll,-0.49999999999999867,0.026382574000308523,0.014163026373798867,0.017171407561730214,0.035480562845015905,0.5988144258554781,0.16869668838375823,-0.034466550286006876,-0.014048167205768958,-0.017550230576769917,-0.03534058995512185,-0.5989183823924646,-0.1683272299458494,0.03622788652731819,190543.9690383746,45298.67135214774
Roll,-0.3999999999999986,0.02383068299968727,0.013667264639487921,0.01647742326405533,0.03729494559352895,0.49803258872274014,0.1781277669500758,-0.039845120715160734,-0.013539789803801588,-0.016810843590415167,-0.03719250188976779,-0.49815874118063447,-0.17777465120741734,0.04139213421100977,203517.84358213787,45674.59136565022
Roll,-0.2999999999999985,0.027726968000933994,0.013511965814751758,0.01638341507622126,0.03614073785956641,0.4279061910296368,0.16842256356745502,-0.04200452004364715,-0.013393656328839005,-0.016663064511924314,-0.03605682590008541,-0.4280313916413045,-0.16810411751284313,0.04326136366614312,195608.44962904224,45341.856586336435
Roll,-0.1999999999999984,0.025075399000343168,0.01424575807863458,0.01613909256737383,0.03328420401592301,0.32543855843283154,0.15357030177365918,-0.03529222539557413,-0.014146551325144504,-0.016336872375133853,-0.03322998428694286,-0.3255342568381913,-0.15336733682675474,0.036164055300817864,168502.38141349092,45754.62788167388
Roll,-0.09999999999999831,0.02459958300096332,0.01685020003854102,0.01693101354904466,0.03341491761683092,0.2065013418759932,0.1568774792085456,-0.043915872065416486,-0.01674566386894903,-0.01706441090081807,-0.03339960782213761,-0.20662229690000208,-0.15671813555371625,0.04448115787040115,171887.00215629805,45998.59353011487
Roll,1.7763568394002505e-15,0.024442427999019856,0.015207889109208055,0.015021093560804987,0.035675852938415305,0.08714890369337108,0.17004799545767285,-0.04412769414798116,-0.015090366707254794,-0.015087117001419067,-0.03569789012014477,-0.08728022820621004,-0.16998062827257318,0.044386486960848466,182381.0405090408,46389.52854788015
Roll,0.10000000000000187,0.024732230998779414,0.013714828519794742,0.01609926109339889,0.031994404075826266,-0.0002981413659146112,0.1506473291937115,-0.03193841867311022,-0.01362168226314342,-0.01610673698475047,-0.03203041394165999,0.00021416673535022451,-0.15064747198004486,0.031937745168683904,155449.05412521996,46205.3167884137
Roll,0.20000000000000195,0.0246524540016253,0.014812539077452,0.015353306066958443,0.03186663986785363,-0.0817324224659761,0.14948627338689968,-0.04257701524675407,-0.014717934580975728,-0.01531878085283424,-0.031927032627965625,0.08162159345047491,-0.1495468163052257,0.04236387439331312,153193.23690116988,45983.47513612287
Roll,0.30000000000000204,0.024468174000503495,0.015289362150818085,0.015189412318479025,0.033943924080515,-0.2016150433832787,0.1610429050654601,-0.043275660292127524,-0.015182417792823205,-0.015081268130905238,-0.03404001123782576,0.20149414731608326,-0.16119414276049845,0.04270887807040623,168160.55332763368,46303.6217639842
Roll,0.40000000000000213,0.026844686002732487,0.012892861743101029,0.014696546692628034,0.033850328457173985,-0.3065963000041993,0.1594505693896454,-0.031624104186536245,-0.012790494979024252,-0.014522122778354327,-0.03396425022690527,0.3065094349326683,-0.15961748626876096,0.030770537680539264,163526.74806925337,46669.031335798674
Roll,0.5000000000000022,0.026812645999598317,0.014665376012649141,0.015452993769942828,0.033022610353186585,-0.3925417050631267,0.15639619216962417,-0.04262605429051843,-0.014563681530591665,-0.015237022969851414,-0.033167655567983484,0.39242671067035256,-0.15668451448308546,0.04155372597456167,161846.0376926172,45955.780930146895
